City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
226,Chapais,49.7834,-74.8492,2.98,93,100,11.43,CA,2022-02-06 17:12:25,light snow
227,Nouadhibou,20.931,-17.0347,65.88,78,5,18.01,MR,2022-02-06 17:10:13,clear sky
228,Vanimo,-2.6741,141.3028,77.97,87,86,4.74,PG,2022-02-06 17:12:25,overcast clouds
229,Liverpool,53.4106,-2.9779,45.63,75,40,17.0,GB,2022-02-06 17:12:25,scattered clouds
230,Sal Rei,16.1833,-22.9167,75.4,69,40,17.27,CV,2022-02-06 17:12:26,scattered clouds
231,Dunmore East,52.1514,-6.9861,48.33,74,75,12.66,IE,2022-02-06 17:13:26,broken clouds
232,Mponela,-13.5319,33.7401,63.37,96,94,3.15,MW,2022-02-06 17:13:26,light rain
233,Piracanjuba,-17.3028,-49.0167,81.9,61,91,7.7,BR,2022-02-06 17:13:27,overcast clouds
234,Tiarei,-17.5333,-149.3333,80.62,75,31,23.0,PF,2022-02-06 17:13:27,light rain
235,Olafsvik,64.8945,-23.7142,28.58,71,83,16.11,IS,2022-02-06 17:13:27,broken clouds
236,Rovaniemi,66.5,25.7167,22.41,86,100,14.97,FI,2022-02-06 17:10:22,overcast clouds
237,Venado Tuerto,-33.7456,-61.9688,74.79,34,0,12.82,AR,2022-02-06 17:13:28,clear sky
238,Uusikaupunki,60.8004,21.4084,32.52,94,64,9.08,FI,2022-02-06 17:13:28,broken clouds
239,Tiksi,71.6872,128.8694,-17.07,99,100,3.56,RU,2022-02-06 17:13:29,overcast clouds
240,Saint Anthony,45.0205,-93.218,23.67,83,100,5.99,US,2022-02-06 17:13:29,overcast clouds
241,Port Hedland,-20.3167,118.5667,84.25,84,40,6.91,AU,2022-02-06 17:13:30,scattered clouds
242,Smolensk,55.0,33.0,29.34,93,97,9.37,RU,2022-02-06 17:13:30,overcast clouds
243,Udachnyy,66.4167,112.4,-12.15,99,99,3.27,RU,2022-02-06 17:13:30,overcast clouds
244,Daru,-9.0763,143.2092,79.21,84,99,4.83,PG,2022-02-06 17:13:31,overcast clouds
245,Kidal,18.4411,1.4078,78.64,8,0,11.32,ML,2022-02-06 17:13:31,clear sky
246,San Juan,-31.5375,-68.5364,78.69,32,0,7.72,AR,2022-02-06 17:10:46,clear sky
247,Martil,35.6166,-5.2752,62.67,83,54,15.41,MA,2022-02-06 17:13:31,broken clouds
248,Najran,17.4924,44.1277,64.67,34,4,7.4,SA,2022-02-06 17:13:32,clear sky
249,Bereznik,62.8551,42.7072,13.28,96,99,6.6,RU,2022-02-06 17:13:32,overcast clouds
250,Kishi,9.0833,3.85,93.43,11,0,4.65,NG,2022-02-06 17:13:32,clear sky
251,Bilibino,68.0546,166.4372,-17.88,78,14,4.45,RU,2022-02-06 17:13:33,few clouds
252,Rocha,-34.4833,-54.3333,73.33,40,71,17.43,UY,2022-02-06 17:08:40,broken clouds
253,West Odessa,31.8424,-102.4988,48.92,38,0,16.11,US,2022-02-06 17:13:34,clear sky
254,Coquimbo,-29.9533,-71.3436,67.73,72,20,12.66,CL,2022-02-06 17:13:34,few clouds
255,Kupino,54.3663,77.2981,4.96,80,53,8.93,RU,2022-02-06 17:13:34,broken clouds
256,Mengyin,35.7069,117.9264,31.12,36,87,3.06,CN,2022-02-06 17:13:35,overcast clouds
257,Ritchie,-29.038,24.6028,82.06,34,19,4.56,ZA,2022-02-06 17:13:35,few clouds
258,Nevelsk,46.6733,141.8633,19.92,88,100,17.25,RU,2022-02-06 17:13:35,overcast clouds
259,Sabang,5.8933,95.3214,78.84,85,100,16.8,ID,2022-02-06 17:13:36,overcast clouds
